Date,SMA_20,MACD_12_26_9,BBB_20_2.0,Close,MACDs_12_26_9,MACDh_12_26_9,Open,OBV,STOCHd_14_3_3,STOCHk_14_3_3,ATRr_14,BBL_20_2.0,BBP_20_2.0,RSI_14,BBM_20_2.0,Volume,Gamma
2009-12-14,,,,0.4533457388897989,,,0.4487961820479186,0.0951453324447634,,,,,,,,0.0951453324447634,1
2009-12-15,,,,0.449461108290489,,,0.45184466225818,0.0462398113497719,,,,,,,,0.0489055210949915,1
2009-12-16,,,,0.4506874865914627,,,0.4670864490499881,0.1358486697083098,,,,,,,,0.0896088583585379,-1
2009-12-17,,,,0.4465989524040921,,,0.439447863255758,0.1124724457886913,,,,,,,,0.0233762239196185,1
2009-12-18,,,,0.4502788833611772,,,0.4571285209999787,0.1525606192648793,,,,,,,,0.040088173476188,-1
2009-12-21,,,,0.4545722309127961,,,0.4508283443907505,0.1669144409699082,,,,,,,,0.0143538217050289,1
2009-12-22,,,,0.4431866093682042,,,0.4574281121642219,0.0604911057569078,,,,,,,,0.1064233352130004,-1
2009-12-23,,,,0.4474946270608492,,,0.4543692223989053,0.0661301071410263,,,,,,,,0.0056390013841185,1
2009-12-24,,,,0.4493410178337171,,,0.4600790832235819,0.1062695442661608,,,,,,,,0.0401394371251345,-1
2009-12-28,,,,0.4563161581425281,,,0.4568164878164297,0.1168811195980929,,,,,,,,0.0106115753319321,1
2009-12-29,,,,0.461445362566565,,,0.4761893058932007,0.1197006202901521,,,,,,,,0.0028195006920592,-1
2009-12-30,,,,0.4733433018268362,,,0.4749651732906022,0.1303121956220842,,,,,,,,0.0106115753319321,1
2009-12-31,,,,0.4622657532437927,,,0.4792479127155186,0.1238017122058747,,,,,,,,0.0065104834162095,1
2010-01-04,,,,0.4891396320512559,,,0.4825102063190753,0.157174347670067,,,,,,,,0.0333726354641923,1
2010-01-05,,,,0.4938580725265616,,,0.4986198507438515,0.2061823960629516,,,0.0532086765051795,,,74.54347767182969,,0.0490080483928846,1
2010-01-06,,,,0.512526452453419,,,0.5069804988326087,0.2532424257958679,,209.6282184447108,0.0538269236347013,,,79.91499575159261,,0.0470600297329163,1
2010-01-07,,,,0.5400163634619554,,,0.5161570160394291,0.5744604500948376,,94.76328864506964,0.0534280198796473,,,84.95074725397221,,0.3212180242989696,1
2010-01-08,,,,0.556427929833284,,,0.546336884443969,0.7330189162864611,136.43736251707418,104.92058046144206,0.0527425193409888,,,87.0398664629624,,0.1585584661916235,1
2010-01-11,,,,0.5605312478837042,,,0.5769251745493303,0.9045983493105036,99.41019720689646,98.5467225141777,0.0523763777443933,,,87.50683808111941,,0.1715794330240426,-1
2010-01-12,0.4804043022633582,,33.816463018824734,0.557249116564676,,,0.5561256646543214,0.7819244373814526,98.0013790504366,90.53683417569006,0.0505201767921478,0.3991764306554924,0.9730199916618056,84.87260618815726,0.4804043022633582,0.1226739119290511,1
2010-01-13,0.4855891906761814,,35.713531992005315,0.5570435071462635,,,0.5618348978587667,0.6781155482647253,90.9619057655071,83.80216060665352,0.0494482075717807,0.3988786651952525,0.9120279289842256,84.70058965904886,0.4855891906761814,0.1038088891167273,1
2010-01-14,0.4913478408139585,,37.24980449371956,0.5646341110460306,,,0.5673408982271428,0.790639257702363,86.52150531362001,85.2255211585164,0.0493148329988612,0.3998347857703025,0.9004142916937431,85.84146688519479,0.4913478408139585,0.1125237094376377,1
2010-01-15,0.4973118842983035,,38.443720284231446,0.5699683562783626,,,0.5687686874939486,0.9183882708771208,86.63688890113747,90.88298493824249,0.0485215935112111,0.4017192894283632,0.8800319056037387,86.59781405985278,0.4973118842983035,0.1277490131747578,1
2010-01-19,0.5039008814764621,,39.21979828035621,0.5783788959672636,,,0.578556313774782,0.9839544778797352,89.87979153074635,93.5308684954802,0.0479699498857673,0.4050864268524594,0.8768578937878909,87.71238118357032,0.5039008814764621,0.0655662070026144,-1
2010-01-20,0.509854559198369,,39.03858084818178,0.5693524377993128,,,0.5738662603583412,0.8994719844158504,91.12233726931906,88.95315837423453,0.0469820244150619,0.4103345670479709,0.7989242528829208,80.02086393896904,0.509854559198369,0.0844824934638847,-1
2010-01-21,0.5141882951266189,0.0444345597036583,37.741342964643,0.541246949477797,,,0.570195417923749,0.8161685548777359,83.29252748682528,67.39355559076112,0.0451867428809706,0.4171575111527249,0.6394333491031988,61.83791239178905,0.5141882951266189,0.0833034295381145,-1
2010-01-22,0.5182296972213672,0.0395488108336331,35.28817075309058,0.5240146512631703,,,0.5316547335303652,0.6979033167580866,64.85733637842797,38.22529517028828,0.0442685965396548,0.426792806997017,0.5316335891761466,53.77037542638266,0.5182296972213672,0.1182652381196493,1
2010-01-25,0.5226711506502368,0.0362521642806719,32.797768082962854,0.536323695638243,,,0.5481723883874676,0.8131952632388371,37.69632873718425,7.470135450503346,0.0451571041078406,0.4369589147368278,0.5796417503435488,57.98674167113221,0.5226711506502368,0.1152919464807505,-1
2010-01-26,0.5262304737153434,0.031996094419549,29.97760995645467,0.5205274791358468,,,0.5320628825010753,0.6691444096990822,2.872067875480369,-37.07922699435051,0.0440200569983178,0.4473548142741487,0.4638481971504253,51.49585989137336,0.5262304737153434,0.1440508535397549,-1
2010-01-27,0.5281075694345451,0.0261694648624351,27.930443178277784,0.4938580725265616,,,0.511670693944133,0.5686163941149329,-34.373693415862434,-73.51198870374013,0.0427803606931927,0.4543561771339953,0.2678044045025565,42.78749175011404,0.5281075694345451,0.1005280155841492,-1
2010-01-28,0.5285896427780857,0.0194897047651325,27.28389629435924,0.4710868294373779,,,0.4912788929241096,0.3823242938432356,-67.3358908450683,-91.41645683711428,0.042058000883198,0.4564797177989373,0.101283641902723,37.02950750950389,0.5285896427780857,0.1862921002716973,-1
2010-01-29,0.5290409713725844,0.0149342415001905,26.773976850276224,0.4823698737168104,,,0.487812233618462,0.5218126826267493,-80.23328018549975,-75.77139501564484,0.0439124468230238,0.4582183177706983,0.1705072792236415,41.248392021863005,0.5290409713725844,0.1394883887835136,1
2010-02-01,0.5310411484377748,0.0127823737492002,24.5565872462966,0.5022692945476033,,,0.5004552996469944,0.6060388578459014,-71.65046189462078,-47.76353383110321,0.0447616962125513,0.465838356972846,0.2793663948755374,47.88060874347719,0.5310411484377748,0.0842261752191521,1
2010-02-02,0.5319438169989746,0.0113435438855391,23.81094930913864,0.5071930032752512,0.0263278842222233,-0.0149843403366841,0.5259454651951453,0.7072333008663556,-51.190981469644335,-30.038015562184967,0.0450567759206387,0.4686133806896131,0.304589900479931,49.40257140627461,0.5319438169989746,0.1011944430204542,-1
2010-02-03,0.5312155411607482,0.0078613076507269,24.61064935842874,0.4792925557620305,0.022634568907924,-0.0147732612571971,0.4912787585569316,0.5464704977700312,-36.45010178626946,-31.54875596552021,0.0447078093556066,0.4658477440744725,0.1028397183846724,41.93054102541363,0.5312155411607482,0.1607628030963244,-1
2010-02-04,0.5271331138460373,0.0011813350465802,29.75402306299907,0.4308779061592018,0.0183439221356553,-0.017162587089075,0.4608949156901641,0.3250115343210129,-34.490024745531805,-41.88330270889025,0.0429229007838189,0.4487114597128098,-0.113702992819504,32.69071488418768,0.5271331138460373,0.2214589634490183,-1
2010-02-05,0.5215428348500913,-0.0042784861488023,34.18952012592614,0.4282107835430358,0.0138194404787637,-0.0180979266275661,0.4384635251801994,0.1628646127031322,-40.624956508628095,-48.44281085147383,0.0425625097548841,0.4323863386068925,-0.0234169984230129,32.26885544847714,0.5215428348500913,0.1621469216178807,-1
2010-02-08,0.5148447782514364,-0.0089655758446852,37.84159841525443,0.4224667978601836,0.0092624372140739,-0.0182280130587591,0.4315304566572407,0.1222638027374789,-45.157598759389714,-45.14668271780506,0.0432112897950505,0.4174320315275285,0.0258424410663877,31.331132608236786,0.5148447782514364,0.0406008099656533,1
2010-02-09,0.508792924306678,-0.0111773165039305,39.42811002082171,0.4394941689885387,0.005174486470473,-0.0163518029744035,0.4398912336031299,0.1920848926026555,-43.740870298440086,-37.63311732604138,0.0452308318157654,0.4084892073197814,0.1545553973478753,37.16075995215765,0.508792924306678,0.0698210898651766,1
2010-02-10,0.5030795469064397,-0.0125045878067178,40.3996997687153,0.442981568559909,0.0016386716150348,-0.0141432594217527,0.4498832579073492,0.2496539703696109,-40.165755772550746,-37.717467273805816,0.0459430670594928,0.4014582336324322,0.2043042625099468,38.315791109685016,0.5030795469064397,0.0575690777669554,1
2010-02-11,0.4985663007641608,-0.0115036328673956,39.96741958229802,0.466778584300686,-0.0009897892814512,-0.0105138435859444,0.4529418949337738,0.3264981801404623,-32.857430710825696,-23.22170753262988,0.0468747691396886,0.3989342581029838,0.3404744316465703,45.65617018317376,0.4985663007641608,0.0768442097708514,1
2010-02-12,0.4939915082627863,-0.0100809887423724,38.61989089813869,0.473138261018541,-0.0028080291736354,-0.0072729595687369,0.4659928085426092,0.3660224534782384,-23.84424281383865,-10.593553635080251,0.0470915811968939,0.3986020174942074,0.3906942102519622,47.4557331654031,0.4939915082627863,0.0395242733377761,1
2010-02-16,0.4905655299562858,-0.0065931086711885,36.2567715385847,0.5014487901483521,-0.003565045073146,-0.0030280635980424,0.4729262018600662,0.3937048239093656,-3.6556575905590782,22.84828839603291,0.0473507456144152,0.4016339182346369,0.5611889292309818,54.65436449784687,0.4905655299562858,0.0276823704311272,1
2010-02-17,0.4868626328365633,-0.0035561855083814,32.733799398208184,0.5043209535728134,-0.0035632731601931,7.087651811709447e-06,0.5114671921003566,0.4237965858409798,19.909690786978885,47.474337599984,0.0473878931835068,0.4071783140477856,0.6095467778455098,55.3230986213345,0.4868626328365633,0.0300917619316142,-1
2010-02-18,0.4832212536454305,-0.0017582145023612,29.132353153135647,0.4965248539766573,-0.0032022614286267,0.0014440469262654,0.5024942140912403,0.3528476956989795,44.63616285903809,63.585862581097366,0.0472886924776161,0.4128343925839324,0.594503435233482,53.03672295998735,0.4832212536454305,0.0709488901420003,-1
