Date,BBP_20_2.0,RSI_14,MACDh_12_26_9,MACD_12_26_9,STOCHd_14_3_3,STOCHk_14_3_3,BBB_20_2.0,ATRr_14,MACDs_12_26_9,Close,Gamma
2009-12-14,,,,,,,,,,0.4533457388897989,1
2009-12-15,,,,,,,,,,0.449461108290489,1
2009-12-16,,,,,,,,,,0.4506874865914627,-1
2009-12-17,,,,,,,,,,0.4465989524040921,1
2009-12-18,,,,,,,,,,0.4502788833611772,-1
2009-12-21,,,,,,,,,,0.4545722309127961,1
2009-12-22,,,,,,,,,,0.4431866093682042,-1
2009-12-23,,,,,,,,,,0.4474946270608492,1
2009-12-24,,,,,,,,,,0.4493410178337171,-1
2009-12-28,,,,,,,,,,0.4563161581425281,1
2009-12-29,,,,,,,,,,0.461445362566565,-1
2009-12-30,,,,,,,,,,0.4733433018268362,1
2009-12-31,,,,,,,,,,0.4622657532437927,1
2010-01-04,,,,,,,,,,0.4891396320512559,1
2010-01-05,,74.54347767182969,,,,,,0.0532086765051795,,0.4938580725265616,1
2010-01-06,,79.91499575159261,,,,209.6282184447108,,0.0538269236347013,,0.512526452453419,1
2010-01-07,,84.95074725397221,,,,94.76328864506964,,0.0534280198796473,,0.5400163634619554,1
2010-01-08,,87.0398664629624,,,136.43736251707418,104.92058046144206,,0.0527425193409888,,0.556427929833284,1
2010-01-11,,87.50683808111941,,,99.41019720689646,98.5467225141777,,0.0523763777443933,,0.5605312478837042,-1
2010-01-12,0.9730199916618056,84.87260618815726,,,98.0013790504366,90.53683417569006,33.816463018824734,0.0505201767921478,,0.557249116564676,1
2010-01-13,0.9120279289842256,84.70058965904886,,,90.9619057655071,83.80216060665352,35.713531992005315,0.0494482075717807,,0.5570435071462635,1
2010-01-14,0.9004142916937431,85.84146688519479,,,86.52150531362001,85.2255211585164,37.24980449371956,0.0493148329988612,,0.5646341110460306,1
2010-01-15,0.8800319056037387,86.59781405985278,,,86.63688890113747,90.88298493824249,38.443720284231446,0.0485215935112111,,0.5699683562783626,1
2010-01-19,0.8768578937878909,87.71238118357032,,,89.87979153074635,93.5308684954802,39.21979828035621,0.0479699498857673,,0.5783788959672636,-1
