,precision,recall,f1-score,support
-1,0.7069767441860465,0.5409252669039146,0.6129032258064516,281.0
1,0.5567010309278351,0.72,0.627906976744186,225.0
accuracy,0.6205533596837944,0.6205533596837944,0.6205533596837944,0.6205533596837944
macro avg,0.6318388875569407,0.6304626334519573,0.6204051012753189,506.0
weighted avg,0.6401545396739959,0.6205533596837944,0.6195748541878552,506.0
