Price,Close,High,Low,Open,Volume
Ticker,ECH,ECH,ECH,ECH,ECH
Date,,,,,
2009-12-14,37.404449462890625,37.56218701532285,36.96552712287338,37.10268839199114,212300
2009-12-15,37.27414321899414,37.431883390252366,37.20556258328639,37.20556258328639,122100
2009-12-16,37.31528091430664,37.7199128109257,37.23984067009556,37.7199128109257,201500
2009-12-17,37.17813491821289,37.253575198637236,36.75978617490257,36.7872194798176,72300
2009-12-18,37.30157470703125,37.383871989117914,36.691198183870235,37.383871989117914,104900
2009-12-21,37.44559097290039,37.46616725301445,37.04095901309866,37.171265861149635,54700
2009-12-22,37.06367111206055,37.39398201005129,37.056788158412886,37.39398201005129,234300
2009-12-23,37.20817947387695,37.290756537302926,36.89163187651279,37.290756537302926,37700
2009-12-24,37.27011489868164,37.48344183431414,37.27011489868164,37.48344183431414,105000
2009-12-28,37.50408935546875,37.62795628261231,37.33893257758469,37.37334209907407,47400
2009-12-29,37.676143646240234,38.02709834982793,37.5178697504984,38.02709834982793,32200
2009-12-30,38.07524871826172,38.178469393689305,37.552254512482676,37.98578869949575,47400
2009-12-31,37.70366287231445,38.130314274365325,37.689899585141376,38.130314274365325,39400
2010-01-04,38.60512161254883,38.742751808375694,37.86192275520799,38.24040382492363,91800
2010-01-05,38.763397216796875,38.914788066405706,38.605120788673304,38.784040826953174,122300
2010-01-06,39.389610290527344,39.45154374322776,38.97671973083209,39.06617974586101,118500
2010-01-07,40.31173324584961,40.31173324584961,39.3276808552406,39.37585103169745,653300
2010-01-08,40.86224365234375,40.910413819639906,40.20850229251092,40.39430263425776,336000
2010-01-11,40.99988555908203,41.426536859397686,40.896662242436925,41.426536859397686,361400
2010-01-12,40.88978958129883,41.075590022985494,40.42873126773013,40.72463538318534,266000
2010-01-13,40.88289260864258,41.144389711804095,40.559462050129056,40.91729950048756,229200
2010-01-14,41.13751220703125,41.1512754906077,40.88289802356176,41.10310531062909,246200
2010-01-15,41.316444396972656,41.405901828863094,40.88291002482236,41.15128757065107,275900
2010-01-19,41.598567962646484,41.93575918151021,41.14439016014195,41.481581379005675,154600
