Date,Close,High,Low,Open,Volume,Gamma,RSI_14,SMA_20,EMA_20,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,OBV,STOCHk_14_3_3,STOCHd_14_3_3,ATRr_14
2009-12-14,0.4533457388897989,0.4547793420683838,0.4978576756200258,0.4487961820479186,0.0951453324447634,1,,,,,,,,,,,,0.0951453324447634,,,
2009-12-15,0.449461108290489,0.4508825985514251,0.5044239042624252,0.45184466225818,0.0489055210949915,1,,,,,,,,,,,,0.046239811349771905,,,
2009-12-16,0.4506874865914627,0.4594961484591507,0.5053615896986761,0.4670864490499881,0.0896088583585379,-1,,,,,,,,,,,,0.1358486697083098,,,
2009-12-17,0.4465989524040921,0.4455502734582356,0.4922295817410801,0.439447863255758,0.0233762239196185,1,,,,,,,,,,,,0.11247244578869131,,,
2009-12-18,0.4502788833611772,0.4494468125860724,0.490353340495448,0.4571285209999787,0.040088173476188,-1,,,,,,,,,,,,0.1525606192648793,,,
2009-12-21,0.4545722309127961,0.4519078610480147,0.499921133399536,0.4508283443907505,0.0143538217050289,1,,,,,,,,,,,,0.1669144409699082,,,
2009-12-22,0.4431866093682042,0.449749153818,0.5003541435354891,0.4574281121642219,0.1064233352130004,-1,,,,,,,,,,,,0.060491105756907804,,,
2009-12-23,0.4474946270608492,0.446662185274342,0.4958362531087217,0.4543692223989053,0.0056390013841185,1,,,,,,,,,,,,0.06613010714102631,,,
2009-12-24,0.4493410178337171,0.4524244592059812,0.5061897486153897,0.4600790832235819,0.0401394371251345,-1,,,,,,,,,,,,0.10626954426616081,,,
2009-12-28,0.4563161581425281,0.4567461788757765,0.5080722730288207,0.4568164878164297,0.0106115753319321,1,,,,,,,,,,,,0.11688111959809291,,,
2009-12-29,0.461445362566565,0.468682564083223,0.5129671430949116,0.4761893058932007,0.0028195006920592,-1,,,,,,,,,,,,0.11970062029015212,,,
2009-12-30,0.4733433018268362,0.4732093309594556,0.5139077466566303,0.4749651732906022,0.0106115753319321,1,,,,,,,,,,,,0.1303121956220842,,,
2009-12-31,0.4622657532437927,0.4717692470866348,0.5176730612356579,0.4792479127155186,0.0065104834162095,1,,,,,,,,,,,,0.12380171220587471,,,
2010-01-04,0.4891396320512559,0.4900842555056729,0.5223787970652902,0.4825102063190753,0.0333726354641923,1,,,,,,,,,,,,0.15717434767006702,,,
2010-01-05,0.4938580725265616,0.4952290177699435,0.5427091607787111,0.4986198507438515,0.0490080483928846,1,74.54347767182969,,,,,,,,,,,0.20618239606295163,,,0.05320867650517955
2010-01-06,0.512526452453419,0.5112807523453688,0.5528743405954352,0.5069804988326087,0.0470600297329163,1,79.91499575159261,,,,,,,,,,,0.2532424257958679,209.62821844471082,,0.053826923634701374
2010-01-07,0.5400163634619554,0.5370048092615485,0.5624749678673173,0.5161570160394291,0.3212180242989696,1,84.95074725397221,,,,,,,,,,,0.5744604500948376,94.76328864506964,,0.05342801987964737
2010-01-08,0.556427929833284,0.5549084143483952,0.5865700534029811,0.546336884443969,0.1585584661916235,1,87.0398664629624,,,,,,,,,,,0.7330189162864611,104.92058046144206,136.43736251707418,0.052742519340988864
2010-01-11,0.5605312478837042,0.5703431277574909,0.6053948368994759,0.5769251745493303,0.1715794330240426,-1,87.50683808111941,,,,,,,,,,,0.9045983493105036,98.5467225141777,99.41019720689646,0.05237637774439336
2010-01-12,0.557249116564676,0.5598480259608475,0.5925944708056536,0.5561256646543214,0.1226739119290511,1,84.87260618815726,0.48040430226335823,0.48040430226335823,0.39917643065549246,0.48040430226335823,0.561632173871224,33.816463018824734,0.9730199916618057,,,,0.7819244373814526,90.53683417569006,98.0013790504366,0.050520176792147875
2010-01-13,0.5570435071462635,0.5619054878405737,0.5961706432859787,0.5618348978587667,0.1038088891167273,1,84.70058965904886,0.4855891906761814,0.48770327415696824,0.39887866519525256,0.4855891906761814,0.5722997161571103,35.713531992005315,0.9120279289842256,,,,0.6781155482647253,83.80216060665352,90.9619057655071,0.049448207571780756
2010-01-14,0.5646341110460306,0.5621114077748629,0.6050183133305713,0.5673408982271428,0.1125237094376377,1,85.84146688519479,0.4913478408139585,0.4950300205273551,0.3998347857703025,0.4913478408139585,0.5828608958576145,37.24980449371956,0.9004142916937431,,,,0.790639257702363,85.2255211585164,86.52150531362001,0.049314832998861205
2010-01-15,0.5699683562783626,0.5697260350141814,0.605018641627986,0.5687686874939486,0.1277490131747578,1,86.59781405985278,0.4973118842983035,0.502167004884594,0.4017192894283632,0.4973118842983035,0.5929044791682437,38.443720284231446,0.8800319056037387,,,,0.9183882708771207,90.88298493824247,86.63688890113747,0.04852159351121111
2010-01-19,0.5783788959672636,0.5855714744846774,0.6121714945897935,0.578556313774782,0.0655662070026144,-1,87.71238118357032,0.5039008814764621,0.5094252802258006,0.40508642685245944,0.5039008814764621,0.6027153361004647,39.21979828035621,0.8768578937878909,,,,0.9839544778797351,93.53086849548019,89.87979153074635,0.047969949885767395
2010-01-20,0.5693524377993128,0.5691082611688184,0.6055829692900906,0.5738662603583412,0.0844824934638847,-1,80.02086393896904,0.509854559198369,0.5151326285661351,0.41033456704797094,0.509854559198369,0.6093745513487671,39.03858084818178,0.7989242528829208,,,,0.8994719844158504,88.95315837423453,91.12233726931906,0.04698202441506197
